#feature	mean	sd
1-U-Glc_S7P1234567_m7	0.014234704	0.01
1-U-Glc_Suc1234_m0	0.488495785	0.01
1-U-Glc_Suc1234_m1	0.235864771	0.01
1-U-Glc_Suc1234_m2	0.165776249	0.01
1-U-Glc_Suc1234_m3	0.088547857	0.01
1-U-Glc_Suc1234_m4	0.021315339	0.01
1-U-Glc_SucCoA1234_m0	0.488495785	0.01
1-U-Glc_SucCoA1234_m1	0.235864771	0.01
1-U-Glc_SucCoA1234_m2	0.165776249	0.01
1-U-Glc_SucCoA1234_m3	0.088547857	0.01
1-U-Glc_SucCoA1234_m4	0.021315339	0.01
1-U-Glc_X5P12345_m0	0.151411268	0.01
1-U-Glc_X5P12345_m1	0.358714684	0.01
1-U-Glc_X5P12345_m2	0.204049991	0.01
1-U-Glc_X5P12345_m3	0.094786538	0.01
1-U-Glc_X5P12345_m4	0.142015279	0.01
1-U-Glc_X5P12345_m5	0.04902224	0.01
1-U-Glc_Ala23_m0	0.639773192	0.01
1-U-Glc_Ala23_m1	0.148613755	0.01
1-U-Glc_Ala23_m2	0.211613052	0.01
1-U-Glc_Ala123_m0	0.308181859	0.01
1-U-Glc_Ala123_m1	0.413826695	0.01
1-U-Glc_Ala123_m2	0.092960201	0.01
1-U-Glc_Ala123_m3	0.185031245	0.01
1-U-Glc_Gly2_m0	0.716911858	0.01
1-U-Glc_Gly2_m1	0.283088142	0.01
1-U-Glc_Gly12_m0	0.408169835	0.01
1-U-Glc_Gly12_m1	0.469410292	0.01
1-U-Glc_Gly12_m2	0.122419873	0.01
1-U-Glc_Val2345_m0	0.409309737	0.01
1-U-Glc_Val2345_m1	0.190158193	0.01
1-U-Glc_Val2345_m2	0.292854764	0.01
1-U-Glc_Val2345_m3	0.062897221	0.01
1-U-Glc_Val2345_m4	0.044780084	0.01
1-U-Glc_Val12345_m0	0.197166491	0.01
1-U-Glc_Val12345_m1	0.310555289	0.01
1-U-Glc_Val12345_m2	0.186189088	0.01
1-U-Glc_Val12345_m3	0.219764325	0.01
1-U-Glc_Val12345_m4	0.04716978	0.01
1-U-Glc_Val12345_m5	0.039155027	0.01
1-U-Glc_Leu23456_m0	0.275727456	0.01
1-U-Glc_Leu23456_m1	0.261680467	0.01
1-U-Glc_Leu23456_m2	0.259338723	0.01
1-U-Glc_Leu23456_m3	0.137946139	0.01
1-U-Glc_Leu23456_m4	0.050692791	0.01
1-U-Glc_Leu23456_m5	0.014614423	0.01
1-U-Glc_Ile23456_m0	0.21181879	0.01
1-U-Glc_Ile23456_m1	0.275019727	0.01
1-U-Glc_Ile23456_m2	0.259238281	0.01
1-U-Glc_Ile23456_m3	0.171867618	0.01
1-U-Glc_Ile23456_m4	0.060418118	0.01
1-U-Glc_Ile23456_m5	0.021637467	0.01
1-U-Glc_Ser23_m0	0.517937114	0.01
1-U-Glc_Ser23_m1	0.391553048	0.01
1-U-Glc_Ser23_m2	0.090509838	0.01
1-U-Glc_Ser123_m0	0.309693184	0.01
1-U-Glc_Ser123_m1	0.434428964	0.01
1-U-Glc_Ser123_m2	0.20906468	0.01
1-U-Glc_Ser123_m3	0.046813173	0.01
1-U-Glc_Thr234_m0	0.331084191	0.01
1-U-Glc_Thr234_m1	0.352962683	0.01
1-U-Glc_Thr234_m2	0.213702975	0.01
1-U-Glc_Thr234_m3	0.102250151	0.01
1-U-Glc_Thr1234_m0	0.318127456	0.01
1-U-Glc_Thr1234_m1	0.340107589	0.01
1-U-Glc_Thr1234_m2	0.107874497	0.01
1-U-Glc_Thr1234_m3	0.142025012	0.01
1-U-Glc_Thr1234_m4	0.091865446	0.01
1-U-Glc_Phe12_m0	0.704182751	0.01
1-U-Glc_Phe12_m1	0.076106613	0.01
1-U-Glc_Phe12_m2	0.219710636	0.01
1-U-Glc_Phe23456789_m0	0.189348148	0.01
1-U-Glc_Phe23456789_m1	0.17303246	0.01
1-U-Glc_Phe23456789_m2	0.220600937	0.01
1-U-Glc_Phe23456789_m3	0.132475796	0.01
1-U-Glc_Phe23456789_m4	0.127445835	0.01
1-U-Glc_Phe23456789_m5	0.071305063	0.01
1-U-Glc_Phe23456789_m6	0.058256389	0.01
1-U-Glc_Phe23456789_m7	0.018638001	0.01
1-U-Glc_Phe23456789_m8	0.008897371	0.01
1-U-Glc_Phe123456789_m0	0.180935379	0.01
1-U-Glc_Phe123456789_m1	0.167634003	0.01
1-U-Glc_Phe123456789_m2	0.152975843	0.01
1-U-Glc_Phe123456789_m3	0.164447684	0.01
1-U-Glc_Phe123456789_m4	0.131243562	0.01
1-U-Glc_Phe123456789_m5	0.092942373	0.01
1-U-Glc_Phe123456789_m6	0.054790657	0.01
1-U-Glc_Phe123456789_m7	0.034438378	0.01
1-U-Glc_Phe123456789_m8	0.012412668	0.01
1-U-Glc_Phe123456789_m9	0.008179453	0.01
1-U-Glc_Asp12_m0	0.700826728	0.01
1-U-Glc_Asp12_m1	0.082063457	0.01
1-U-Glc_Asp12_m2	0.217109815	0.01
1-U-Glc_Asp234_m0	0.331084191	0.01
1-U-Glc_Asp234_m1	0.352962683	0.01
1-U-Glc_Asp234_m2	0.213702975	0.01
1-U-Glc_Asp234_m3	0.102250151	0.01
1-U-Glc_Asp1234_m0	0.318127456	0.01
1-U-Glc_Asp1234_m1	0.340107589	0.01
1-U-Glc_Asp1234_m2	0.107874497	0.01
1-U-Glc_Asp1234_m3	0.142025012	0.01
1-U-Glc_Asp1234_m4	0.091865446	0.01
1-U-Glc_Glu2345_m0	0.488495785	0.01
1-U-Glc_Glu2345_m1	0.235864771	0.01
1-U-Glc_Glu2345_m2	0.165776249	0.01
1-U-Glc_Glu2345_m3	0.088547857	0.01
1-U-Glc_Glu2345_m4	0.021315339	0.01
1-U-Glc_Glu12345_m0	0.472103059	0.01
1-U-Glc_Glu12345_m1	0.194577922	0.01
1-U-Glc_Glu12345_m2	0.168364572	0.01
1-U-Glc_Glu12345_m3	0.111325547	0.01
1-U-Glc_Glu12345_m4	0.04004308	0.01
1-U-Glc_Glu12345_m5	0.013585821	0.01
1-U-Glc_Tyr12_m0	0.704182751	0.01
1-U-Glc_Tyr12_m1	0.076106613	0.01
1-U-Glc_Tyr12_m2	0.219710636	0.01
